aa_player,aa_player_id,aa_player_team_id,aa_team,aa_team_id,action_area,action_area_id,action_area_injurytime_play,time_slice_id,time_slice_name,competition,kickoff,match_id
1,2948,49,3,49,"
            ",9,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
1,12372,309,3,309,"
            ",15,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
1,12372,309,1,309,"
            ",5,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
1,20871,309,1,309,"
            ",6,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,1,49,"
            ",4,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
1,2074,309,1,309,"
            ",1,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,1,309,"
            ",17,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
1,2948,49,1,49,"
            ",14,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934
1,10955,49,1,49,"
            ",11,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934
2,544,49,3,49,"
            ",5,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934
1,15004,309,2,309,"
            ",12,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934
1,2948,49,2,49,"
            ",4,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934
1,905,49,2,49,"
            ",9,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,8,49,"
            ",10,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,1,49,"
            ",18,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934
2,729,49,2,49,"
            ",2,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,4,49,"
            ",8,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934
1,20871,309,4,309,"
            ",3,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,1,309,"
            ",16,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934
1,7969,309,2,309,"
            ",17,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934
2,82,49,2,49,"
            ",7,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934
