ap_itp_result,ap_itp_result_assists,ap_itp_result_completed,ap_itp_result_failed,ap_itp_result_headed,ap_itp_result_longball,ap_itp_result_team_id,ap_itp_result_through_ball,ap_itp_result_throw_ins,ap_result,ap_result_assists,ap_result_completed,ap_result_failed,ap_result_headed,ap_result_longball,ap_result_team_id,ap_result_through_ball,ap_result_throw_ins,assists,event,event_a,event_action_type,event_injurytime_play,event_k,event_mins,event_minsec,event_player_id,event_secs,event_team_id,event_throw_ins,event_type,headed,long_ball,time_slice_id,time_slice_name,competition,kickoff,match_id,end_x,end_y,start_x,start_y
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,0,34,8206,34,309,0,failed,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,81.6,46.4,80.4,36
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,0,20,9470,20,49,0,failed,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,63.5,83.5,54.9,72.6
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,0,19,10504,19,309,0,failed,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,46.3,13.5,40.1,2.2
,,,,,,,,,15/20,0,15,5,0,0,49,0,2,,,,,,,,,,,,,,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,,,,
,,,,,,,,,17/22,0,17,5,0,0,309,0,0,,,,,,,,,,,,,,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,,,,
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,8,528,544,48,49,0,completed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,93.6,4.0,97.9,3.2
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,8,520,11309,40,309,0,completed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,23.3,90.6,26.7,64.5
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,7,455,10072,35,309,0,completed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,80.1,96.3,75.1,95
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,7,452,11309,32,309,0,completed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,71.7,95.0,64.7,87.7
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,7,437,8088,17,309,0,completed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,20.9,79.3,33.5,76
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,7,433,925,13,49,0,completed,,true,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,66.4,39.4,26,87.2
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,7,420,10560,0,49,0,completed,true,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,4.4,67.9,23.1,90
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,6,411,11309,51,309,0,completed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,31.2,34.2,29.8,60.8
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,6,407,20871,47,309,0,completed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,29.3,67.0,23.2,75.1
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,6,403,15004,43,309,0,completed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,23.2,75.6,13.6,43.6
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,6,400,20871,40,309,0,completed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,13.6,43.6,28.6,60.3
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,6,374,2074,14,309,0,completed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,24.3,76.7,18.9,77.2
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,5,335,11309,35,309,0,completed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,57.6,74.7,46.7,63.1
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,5,332,10072,32,309,0,completed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,46.2,58.1,43.9,38.2
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,5,330,7969,30,309,0,completed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,43.9,38.2,34.9,38
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,5,310,11309,10,309,0,completed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,38.6,74.1,32.2,59.6
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,8,518,9470,38,49,0,failed,true,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,71.9,47.5,67.7,62.7
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,8,511,729,31,49,0,failed,,true,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,79.9,63.7,55.6,30
